instance_id,scenario_id,n,method_name,feasible,cpu_time_seconds,error,objective,priority_tardiness_cost,high_priority_tardiness,max_high_priority_tardiness,p90_high_priority_tardiness,drone_served_customers,drone_share,truck_travel_cost,drone_travel_cost,waiting_sync_cost,truck_route_distance_km,drone_flight_distance_km,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,eligible_not_assigned_due_battery,makespan_minutes,number_of_drone_launches,number_of_drone_retrievals
S0002_R06,S0002,15,nils,True,0.3124768734,,109.9629880183,0.0,0.0,0.0,0.0,0,0.0,109.9629880183,0.0,0.0,137.4537350229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9168781071,0.0,0.0
S0002_R06,S0002,15,feasibility_aware_alns,True,5.2445225716,,1325.8126784144,1271.6359116945,6.3581795585,4.7426062291,4.1171996491,3,0.2,44.9468555388,9.2299111811,0.0,56.1835694235,30.7663706037,0.0,0.0,0.0,0.0,0.8832772834,0.8832772834,0.0,0.0,105.9234808876,1.0,1.0
S0002_R07,S0002,15,truck_only,True,0.0240695477,,7278.9119708999,7218.46988894,36.0923494447,36.0923494447,32.4831145002,0,0.0,60.4420819599,0.0,0.0,75.5526024499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.1320789786,0.0,0.0
S0002_R07,S0002,15,nils,True,0.8276441097,,51.4860936008,0.0,0.0,0.0,0.0,2,0.1333333333,43.1932127411,8.2928808597,0.0,53.9915159263,27.6429361992,0.0,0.0,0.0,0.0,0.7929416247,0.7929416247,0.0,0.0,104.652526404,1.0,1.0
S0002_R07,S0002,15,feasibility_aware_alns,True,6.2274520397,,52.1119851225,0.0,0.0,0.0,0.0,3,0.2,43.1932127411,8.9187723814,0.0,53.9915159263,29.7292412715,0.0,0.0,0.0,0.0,0.8693192548,0.8693192548,0.0,0.0,103.9012805378,1.0,1.0
S0002_R08,S0002,15,truck_only,True,0.0185270309,,150.5796154113,80.0161882413,0.0,0.0,0.0,0,0.0,70.56342717,0.0,0.0,88.2042839625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.9785215541,0.0,0.0
S0002_R08,S0002,15,nils,True,0.5176355839,,120.3040632275,0.0,0.0,0.0,0.0,0,0.0,120.3040632275,0.0,0.0,150.3800790344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1740742599,0.0,0.0
S0002_R08,S0002,15,feasibility_aware_alns,True,10.0280344486,,1437.4898802394,1391.3095079165,6.9565475396,6.9565475396,6.2608927856,0,0.0,46.1803723229,0.0,0.0,57.7254654037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.6158329359,0.0,0.0
S0002_R09,S0002,15,truck_only,True,0.0145990849,,24190.0557231218,24120.5192292744,120.6025961464,61.5751454437,60.5320717874,0,0.0,69.5364938474,0.0,0.0,86.9206173092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.3704885808,0.0,0.0
S0002_R09,S0002,15,nils,True,0.9872210026,,53.9577274283,0.0,0.0,0.0,0.0,1,0.0666666667,46.0403423676,7.9173850607,0.0,57.5504279594,26.3912835358,0.0,0.0,0.0,0.0,0.7540366725,0.7540366725,0.0,0.0,111.3521830443,1.0,1.0
