rho,source_model,evaluation_model,source_y_json,source_z_json,source_w_json,evaluation_model_benchmark,road_reoptimized_objective,road_regret,road_regret_percent,complete_plan_objective,complete_plan_regret,complete_plan_regret_percent,capability_feasible,infeasible_design_basis_state_count,maximum_oracle_gap,regret_divided_by_m4_policy_margin,regret_divided_by_oracle_tolerance,regret_status,complete_regret_status,source_plan_own_capability_feasible
0.1,M4,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.9820256776026]",1157.014275137994,1157.0142751379947,6.821210263296962e-13,5.895528179618539e-14,1157.0142751379944,4.547473508864641e-13,3.930352119745693e-14,True,0,6.821210263296962e-13,3.270896876186408e-13,6.821210263296962e-08,numerically_zero,numerically_zero,True
0.1,M4,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.9820256776026]",1157.0148981268576,1157.0148981268578,2.2737367544323206e-13,1.9651750017336623e-14,1157.0148981268578,2.2737367544323206e-13,1.9651750017336623e-14,True,0,4.547473508864641e-13,1.0886934804392033e-13,2.2737367544323203e-08,numerically_zero,numerically_zero,True
0.1,M4,M4,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.9820256776026]",1159.7102992138502,1159.7102992138502,0.0,0.0,1159.7102992138502,0.0,0.0,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.125,M0,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423051,0.0,82.59850285769498]",938.3316712518102,938.3316712518102,0.0,0.0,938.3316712518102,0.0,0.0,True,0,1.0231815394945443e-12,0.0,0.0,numerically_zero,numerically_zero,True
0.125,M0,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423051,0.0,82.59850285769498]",938.3385073041027,938.3385073041027,0.0,0.0,938.3385073041031,4.547473508864641e-13,4.8463038375455557e-14,True,0,4.547473508864641e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.125,M0,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423051,0.0,82.59850285769498]",1171.3053712008914,1172.5033115246965,1.1979403238051418,0.10227395462012974,1175.2387418292856,3.9333706283941865,0.3358108589873077,True,0,9.094947017729282e-13,1197940323805.1418,119794.03238051417,above_policy_margin,above_policy_margin,True
0.125,M0,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423051,0.0,82.59850285769498]",1171.3464656584251,1172.5195273365666,1.1730616781414938,0.10014643084120328,1175.2394248551025,3.8929591966773387,0.33234907952610493,True,0,1.1368683772161603e-12,1173061678141.494,117306.16781414936,above_policy_margin,above_policy_margin,True
0.125,M0,M4,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423051,0.0,82.59850285769498]",1174.574248900284,1174.9796105695798,0.40536166929587125,0.034511370368914385,1177.995535394166,3.4212864938820076,0.29127886100731804,True,0,9.094947017729282e-13,405361669295.8713,40536.166929587125,above_policy_margin,above_policy_margin,True
0.125,M1,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423044,0.0,82.5985028576956]",938.3316712518102,938.3316712518102,0.0,0.0,938.3316712518098,0.0,0.0,True,0,1.0231815394945443e-12,0.0,0.0,numerically_zero,numerically_zero,True
0.125,M1,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423044,0.0,82.5985028576956]",938.3385073041027,938.3385073041027,0.0,0.0,938.3385073041027,0.0,0.0,True,0,4.547473508864641e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.125,M1,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423044,0.0,82.5985028576956]",1171.3053712008914,1172.5033115246965,1.1979403238051418,0.10227395462012974,1175.2387418292853,3.933370628393959,0.3358108589872883,True,0,9.094947017729282e-13,1197940323805.1418,119794.03238051417,above_policy_margin,above_policy_margin,True
0.125,M1,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423044,0.0,82.5985028576956]",1171.3464656584251,1172.5195273365666,1.1730616781414938,0.10014643084120328,1175.2394248551022,3.8929591966771113,0.3323490795260855,True,0,1.1368683772161603e-12,1173061678141.494,117306.16781414936,above_policy_margin,above_policy_margin,True
