rho,budget_fraction,absolute_budget,objective,second_objective,absolute_margin,margin_percent,selected_y_json,selected_z_json,selected_w_json,road_budget_used,road_budget_slack,feasible_tier_count,within_0p01_percent,within_0p10_percent,within_0p50_percent,corridor_2_full,corridor_3_full,residual_split_two_corridors,base_budget_fraction
0.025,0.375,2.050658922044804,1099.7710743315238,1099.9133943032812,0.14231997175738798,0.012940872430555117,"[0.0,1.0,1.0,0.25,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760366]",1.9843506802675792,0.06630824177722472,713,1,2,2,True,True,False,0.42000000000000004
0.025,0.4,2.187369516847791,1097.391425585094,1099.4599060697183,2.0684804846241605,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760289]",2.1163406877715145,0.07102882907627661,865,1,1,4,True,True,False,0.42000000000000004
0.025,0.42,2.2967379926901805,1097.391425585094,1099.4599060697183,2.0684804846241605,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760289]",2.1163406877715145,0.180397304918666,996,1,1,5,True,True,False,0.42000000000000004
0.025,0.425,2.324080111650778,1097.391425585094,1099.3199483685153,1.9285227834211582,0.1757370012612347,"[0.25,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.98202567760289]",2.1163406877715145,0.20773942387926336,1024,1,1,6,True,True,False,0.42000000000000004
0.025,0.45,2.4607907064537646,1096.9378679891104,1097.2490469789298,0.31117898981938197,0.028367968587849967,"[0.25,1.0,1.0,0.0,0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223972, 0.0, 96.98202567760282]",2.433876179039114,0.026914527414650724,1200,1,3,9,True,True,False,0.42000000000000004
0.025,0.475,2.5975013012567514,1095.3109878294695,1096.9378679891104,1.6268801596409048,0.14853134659635098,"[0.5,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760305]",2.489183711956273,0.10831758930047819,1378,1,1,12,True,True,False,0.42000000000000004
0.025,0.5,2.7342118960597386,1095.1685608356868,1095.3109878294695,0.14242699378269208,0.013005029442591994,"[0.5,1.0,1.0,0.25,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223976, 0.0, 96.98202567760242]",2.7300367286370957,0.0041751674226429,1563,1,2,18,True,True,False,0.42000000000000004
0.025,0.525,2.8709224908627258,1093.6720810364068,1094.857386496184,1.1853054597772825,0.10837850579984087,"[0.75,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223967, 0.0, 96.98202567760339]",2.862026736141032,0.008895754721693905,1747,1,1,16,True,True,False,0.42000000000000004
0.025,0.55,3.0076330856657125,1093.6720810364068,1094.857386496184,1.1853054597772825,0.10837850579984087,"[0.75,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223967, 0.0, 96.98202567760339]",2.862026736141032,0.14560634952468066,1925,1,1,20,True,True,False,0.42000000000000004
0.025,0.575,3.1443436804686993,1093.5296159017967,1093.6720810364068,0.14246513461012,0.013028008801813188,"[0.75,1.0,1.0,0.25,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760299]",3.1028797528218544,0.04146392764684492,2101,1,3,25,True,True,False,0.42000000000000004
