rho,perturbed_corridor_index,corridor_id,cost_multiplier,objective,second_objective,margin_percent,selected_y_json,perturbed_budget_used,perturbed_budget_slack,feasible_tier_count,corridor_2_full,corridor_3_full
0.025,1,corr_kanazawa_nanao,1.1,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.1536249901899907,0.14311300250018988,925,True,True
0.025,1,corr_kanazawa_nanao,1.2,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.190909292608467,0.10582870008171374,877,True,True
0.025,2,corr_nanao_anamizu,0.8,1096.9378679891104,1097.2490469789298,0.028367968587849967,"[0.25,1.0,1.0,0.0,0.25]",2.2502857452891853,0.046452247400995184,1099,True,True
0.025,2,corr_nanao_anamizu,0.9,1097.2490469789298,1097.391425585094,0.012975960795442904,"[0.25,1.0,1.0,0.25,0.0]",2.2653984875773734,0.03133950511280714,1044,True,True
0.025,2,corr_nanao_anamizu,1.1,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.208135904646479,0.08860208804370151,945,True,True
0.025,2,corr_nanao_anamizu,1.2,1099.4599060697183,1099.7710743315238,0.028301919886997134,"[0.0,1.0,1.0,0.0,0.25]",2.2446235886042842,0.05211440408589629,904,True,True
0.025,3,corr_anamizu_wajima,0.8,1096.9378679891104,1097.2490469789298,0.028367968587849967,"[0.25,1.0,1.0,0.0,0.25]",2.2687670800716915,0.027970912618489052,1085,True,True
0.025,3,corr_anamizu_wajima,0.9,1097.2490469789298,1097.391425585094,0.012975960795442904,"[0.25,1.0,1.0,0.25,0.0]",2.274639154968626,0.02209883772155452,1036,True,True
0.025,3,corr_anamizu_wajima,1.1,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.1988952372552264,0.09784275543495413,949,True,True
0.025,3,corr_anamizu_wajima,1.2,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.2814497867389374,0.015288205951243139,910,True,True
0.025,4,corr_anamizu_noto,0.8,1097.391425585094,1099.3199483685153,0.1757370012612347,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1100,True,True
0.025,4,corr_anamizu_noto,0.9,1097.391425585094,1099.3199483685153,0.1757370012612347,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1047,True,True
0.025,4,corr_anamizu_noto,1.1,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,945,True,True
0.025,4,corr_anamizu_noto,1.2,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,895,True,True
0.025,5,corr_anamizu_suzu,0.8,1097.391425585094,1099.0738927946516,0.15331514082683909,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1132,True,True
0.025,5,corr_anamizu_suzu,0.9,1097.391425585094,1099.3199483685153,0.1757370012612347,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1061,True,True
0.025,5,corr_anamizu_suzu,1.1,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,937,True,True
0.025,5,corr_anamizu_suzu,1.2,1097.391425585094,1099.4599060697183,0.18849067309973855,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,877,True,True
0.05,1,corr_kanazawa_nanao,0.8,1121.7574698392466,1121.899848445411,0.01269245893096307,"[0.25,1.0,1.0,0.25,0.0]",2.2826250996153856,0.014112893074794908,1152,True,True
0.05,1,corr_kanazawa_nanao,0.9,1121.899848445411,1123.968328930035,0.1843730068678058,"[0.25,1.0,1.0,0.0,0.0]",2.079056385353039,0.2176816073371417,1071,True,True
0.05,1,corr_kanazawa_nanao,1.1,1121.899848445411,1123.968328930035,0.1843730068678058,"[0.25,1.0,1.0,0.0,0.0]",2.1536249901899907,0.14311300250018988,925,True,True
0.05,1,corr_kanazawa_nanao,1.2,1121.899848445411,1123.968328930035,0.1843730068678058,"[0.25,1.0,1.0,0.0,0.0]",2.190909292608467,0.10582870008171374,877,True,True
0.05,2,corr_nanao_anamizu,0.8,1121.4462908494274,1121.7574698392466,0.027748006512505866,"[0.25,1.0,1.0,0.0,0.25]",2.2502857452891853,0.046452247400995184,1099,True,True
0.05,2,corr_nanao_anamizu,0.9,1121.7574698392466,1121.899848445411,0.01269245893096307,"[0.25,1.0,1.0,0.25,0.0]",2.2653984875773734,0.03133950511280714,1044,True,True
0.05,2,corr_nanao_anamizu,1.1,1121.899848445411,1123.968328930035,0.1843730068678058,"[0.25,1.0,1.0,0.0,0.0]",2.208135904646479,0.08860208804370151,945,True,True
0.05,2,corr_nanao_anamizu,1.2,1123.968328930035,1124.2794971918408,0.02768478913475707,"[0.0,1.0,1.0,0.0,0.25]",2.2446235886042842,0.05211440408589629,904,True,True
0.05,3,corr_anamizu_wajima,0.8,1121.4462908494274,1121.7574698392466,0.027748006512505866,"[0.25,1.0,1.0,0.0,0.25]",2.2687670800716915,0.027970912618489052,1085,True,True
0.05,3,corr_anamizu_wajima,0.9,1121.7574698392466,1121.899848445411,0.01269245893096307,"[0.25,1.0,1.0,0.25,0.0]",2.274639154968626,0.02209883772155452,1036,True,True
