rho,rank,objective,gap_to_best,gap_percent,selected_y_json,y_budget_used,candidate_index
0.15,9,983.2816129856263,43.78434727216211,4.660401777637086,"[0.25, 1.0, 0.75, 0.0, 0.25]",2.2274898053298355,1202
0.15,10,985.0497038529047,45.55243813944048,4.848597202126765,"[0.0, 1.0, 0.75, 0.75, 0.0]",2.259670339919946,591
0.2,1,941.4908148781016,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",2.1163406877715145,1226
0.2,2,944.4591529194997,2.9683380413981695,0.31528061607085267,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,611
0.2,3,944.6436863647876,3.152871486686081,0.33488074836867054,"[0.0, 1.0, 1.0, 0.25, 0.0]",1.9843506802675792,606
0.2,4,944.8642065780791,3.37339169997756,0.35830319814796346,"[0.0, 1.0, 1.0, 0.0, 0.0]",1.7434976635867565,601
0.2,5,944.8642065780822,3.3733916999806297,0.3583031981482895,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,602
0.2,6,992.9919651469229,51.501150268821334,5.470170229487516,"[0.5, 1.0, 0.75, 0.0, 0.0]",2.282797338246995,1826
0.2,7,994.7286154054337,53.23780052733218,5.654627712350554,"[0.25, 1.0, 0.75, 0.25, 0.0]",2.150807330743059,1206
0.2,8,994.9734448114576,53.482629933356066,5.68063215149695,"[0.25, 1.0, 0.75, 0.0, 0.0]",1.9099543140622364,1201
0.2,9,994.9734448114589,53.482629933357316,5.680632151497083,"[0.25, 1.0, 0.75, 0.0, 0.25]",2.2274898053298355,1202
0.2,10,996.0166811788552,54.52586630075359,5.791439007061716,"[0.0, 1.0, 0.75, 0.75, 0.0]",2.259670339919946,591
0.25,1,941.5807118957248,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",2.1163406877715145,1226
0.25,2,945.5637543252818,3.983042429557031,0.42301656982095576,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,611
0.25,3,945.75501436513,4.174302469405234,0.44332922463980085,"[0.0, 1.0, 1.0, 0.25, 0.0]",1.9843506802675792,606
0.25,4,945.9822611729809,4.401549277256095,0.4674638320058901,"[0.0, 1.0, 1.0, 0.0, 0.0]",1.7434976635867565,601
0.25,5,945.9822611729841,4.401549277259278,0.46746383200622815,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,602
0.25,6,997.9248188249123,56.34410692918755,5.983991198773341,"[0.5, 1.0, 0.75, 0.0, 0.0]",2.282797338246995,1826
0.25,7,999.8919828174144,58.311270921689584,6.192912639882884,"[0.25, 1.0, 0.75, 0.25, 0.0]",2.150807330743059,1206
0.25,8,1000.1518180925032,58.57110619677837,6.220508285355024,"[0.25, 1.0, 0.75, 0.0, 0.0]",1.9099543140622364,1201
0.25,9,1000.1518180925045,58.57110619677974,6.2205082853551685,"[0.25, 1.0, 0.75, 0.0, 0.25]",2.2274898053298355,1202
0.25,10,1001.1057161015952,59.52500420587046,6.321816436322939,"[0.0, 1.0, 0.75, 0.75, 0.0]",2.259670339919946,591
