scenario_id,density_cap,response_profile,rho,tau,stage1_benchmark,objective_bound,stage2_service_lower,stage2_service_upper,stage2_objective,realized_sacrifice,realized_sacrifice_percent,selected_y_json,selected_z_json,selected_w_json,admissible_policy_count,service_tie_count,bisection_steps,bisection_resolution,maximum_oracle_gap
k2p00__base,2.0,base,0.0,0.005,1070.808480778403,1076.162523182295,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",5,5,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.0,0.01,1070.808480778403,1081.516565586187,0.19390869140625,0.1939697265625,1070.808480778403,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223963,0.0,96.98202567760372]",5,5,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.025,0.0,1097.391425585094,1097.391435585094,0.19390869140625,0.1939697265625,1097.391425585094,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223971,0.0,96.98202567760289]",1,1,14,0.0001,4.547473508864641e-13
k2p00__base,2.0,base,0.025,0.0005,1097.391425585094,1097.9401212978867,0.19390869140625,0.1939697265625,1097.391425585094,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223971,0.0,96.98202567760289]",1,1,14,0.0001,4.547473508864641e-13
k2p00__base,2.0,base,0.025,0.001,1097.391425585094,1098.488817010679,0.19390869140625,0.1939697265625,1097.391425585094,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223971,0.0,96.98202567760289]",1,1,14,0.0001,4.547473508864641e-13
k2p00__base,2.0,base,0.025,0.0025,1097.391425585094,1100.1349041490569,0.19390869140625,0.1939697265625,1097.391425585094,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223971,0.0,96.98202567760289]",5,5,14,0.0001,6.821210263296962e-13
k2p00__base,2.0,base,0.025,0.005,1097.391425585094,1102.8783827130194,0.19390869140625,0.1939697265625,1097.391425585094,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223971,0.0,96.98202567760289]",5,5,14,0.0001,6.821210263296962e-13
k2p00__base,2.0,base,0.025,0.01,1097.391425585094,1108.3653398409451,0.19390869140625,0.1939697265625,1097.391425585094,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223971,0.0,96.98202567760289]",5,5,14,0.0001,6.821210263296962e-13
k2p00__base,2.0,base,0.05,0.0,1121.899848445411,1121.899858445411,0.19390869140625,0.1939697265625,1121.899848445411,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223978,0.0,96.98202567760224]",1,1,14,0.0001,6.821210263296962e-13
k2p00__base,2.0,base,0.05,0.0005,1121.899848445411,1122.4607983696335,0.19390869140625,0.1939697265625,1121.899848445411,0.0,0.0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223978,0.0,96.98202567760224]",1,1,14,0.0001,6.821210263296962e-13
